-0.86126,1.2281,-2.53
-1.2706,0.941,-2.53
-1.68,0.65391,-2.53
-2.0893,0.36682,-2.53
-2.4987,0.079728,-2.53
-2.9081,-0.20736,-2.53
-3.3174,-0.49446,-2.53
-3.7268,-0.78155,-2.53
-4.1362,-1.0686,-2.53
-4.5455,-1.3557,-2.5185
-4.9513,-1.6473,-2.4196
-5.3266,-1.9778,-2.4196
-5.7018,-2.3082,-2.4154
-6.0757,-2.6403,-2.4142
-6.4491,-2.9727,-2.4142
-6.8226,-3.3052,-2.4142
-7.1961,-3.6376,-2.4142
-7.5695,-3.9701,-2.4142
-7.943,-4.3025,-2.4009
-8.312,-4.6399,-2.3985
-8.6802,-4.9782,-2.3633
-9.0361,-5.3291,-2.3439
-9.3853,-5.687,-2.3415
-9.7336,-6.0457,-2.3402
-10.081,-6.4049,-2.3402
-10.429,-6.764,-2.3402
-10.777,-7.1232,-2.3402
-11.125,-7.4823,-2.3402
-11.473,-7.8415,-2.3421
-11.821,-8.2,-2.3428
-12.17,-8.5583,-2.3531
-12.523,-8.9129,-2.3558
-12.876,-9.2666,-2.3572
-13.23,-9.6198,-2.3575
-13.584,-9.9729,-2.3575
-13.938,-10.326,-2.3575
-14.292,-10.679,-2.3575
-14.646,-11.032,-2.3575
-15,-11.385,-2.3617
-15.356,-11.737,-2.3683
-15.713,-12.086,-2.4204
-16.089,-12.416,-2.4213
-16.465,-12.746,-2.4277
-16.842,-13.073,-2.4277
-17.22,-13.401,-2.4277
-17.598,-13.728,-2.4277
-17.976,-14.056,-2.4277
-18.354,-14.383,-2.4277
-18.732,-14.71,-2.4278
-19.11,-15.038,-2.4581
-19.497,-15.353,-2.5396
-19.909,-15.636,-2.5526
-20.325,-15.914,-2.56
-20.743,-16.189,-2.56
-21.161,-16.463,-2.56
-21.578,-16.738,-2.56
-21.996,-17.013,-2.56
-22.414,-17.287,-2.56
-22.832,-17.562,-2.56
-23.25,-17.837,-2.6599
-23.692,-18.068,-2.7567
-24.154,-18.255,-2.8552
-24.634,-18.396,-2.8585
-25.114,-18.536,-2.8597
-25.594,-18.675,-2.8597
-26.074,-18.814,-2.8597
-26.554,-18.953,-2.8597
-27.035,-19.092,-2.8597
-27.515,-19.231,-2.9103
-28.002,-19.346,-2.9235
-28.49,-19.454,-2.9781
-28.983,-19.535,-3.0281
-29.479,-19.592,-3.0744
-29.978,-19.626,-3.0757
-30.477,-19.659,-3.0767
-30.976,-19.691,-3.0767
-31.475,-19.723,-3.0767
-31.974,-19.756,-3.1321
-32.473,-19.761,3.1182
-32.973,-19.749,3.0805
-33.472,-19.718,3.0622
-33.971,-19.679,3.0025
-34.465,-19.609,2.9483
-34.956,-19.513,2.9222
-35.444,-19.405,2.9222
-35.932,-19.296,2.9222
-36.42,-19.187,2.9041
-36.906,-19.069,2.8918
-37.39,-18.946,2.88
-37.873,-18.816,2.8727
-38.355,-18.684,2.8728
-38.837,-18.551,2.8728
-39.319,-18.418,2.8742
-39.802,-18.286,2.8749
-40.284,-18.154,2.8749
-40.766,-18.022,2.8749
-41.249,-17.891,2.8852
-41.732,-17.764,2.8899
-42.216,-17.639,2.8982
-42.702,-17.519,2.9015
-43.187,-17.4,2.9015
-43.673,-17.281,2.9015
-44.159,-17.162,2.9385
-44.648,-17.061,2.9504
-45.139,-16.966,2.9492
-45.63,-16.871,2.9479
-46.121,-16.774,2.9676
-46.613,-16.688,2.9857
-47.107,-16.61,3.0055
-47.602,-16.543,3.0218
-48.099,-16.483,3.037
-48.596,-16.431,3.0482
-49.094,-16.384,3.0559
-49.592,-16.341,3.0886
-50.091,-16.315,3.0886
-50.59,-16.288,3.0886
-51.09,-16.262,3.0933
-51.589,-16.238,3.1089
-52.089,-16.221,3.1148
-52.589,-16.208,3.132
-53.089,-16.203,3.139
-53.589,-16.202,-3.1262
-54.088,-16.209,-3.1253
-54.588,-16.218,-3.1129
-55.088,-16.232,-3.1129
-55.588,-16.246,-3.1129
-56.088,-16.261,-3.1111
-56.588,-16.276,-3.0968
-57.087,-16.298,-3.0938
-57.586,-16.322,-3.0744
-58.085,-16.356,-3.0664
-58.584,-16.393,-3.0235
-59.08,-16.452,-3.0235
-59.577,-16.511,-3.0175
-60.073,-16.573,-3.0163
-60.569,-16.635,-3.0163
-61.065,-16.698,-3.0163
-61.561,-16.76,-2.9503
-62.052,-16.855,-2.9415
-62.542,-16.955,-2.8138
-63.015,-17.116,-2.7982
-63.486,-17.284,-2.6404
-63.924,-17.524,-2.6404
-64.363,-17.764,-2.6404
-64.801,-18.005,-2.6392
-65.239,-18.245,-2.6391
-65.678,-18.486,-2.6391
-66.116,-18.727,-2.6372
-66.554,-18.969,-2.5842
-66.978,-19.233,-2.5628
-67.395,-19.506,-2.3364
-67.742,-19.866,-2.3364
-68.088,-20.227,-2.335
-68.434,-20.588,-2.3305
-68.779,-20.95,-2.3305
